tag;val
Самостоятельность;2
clickhouse;2
nltk;2
Iron Python;2
IPython;2
AWS EC2;2
Django Rest API;2
Организация конференций;2
Паттерны;2
ExpressJS;2
Высокая работоспособность;2
DBeaver;2
WSUS;2
Web2Py;2
Natural Language Processing;2
Техническая смекалка;2
Системное программирование;2
Графические редакторы;2
Statistica;2
Знание алгоритмов;2
mql-4/mql-5;1
djangorestframework;1
Conan;1
Собственное видение;1
Знание языков C/C++, Python;1
dashboard;1
SQLAlchemy core;1
Обучаемость, трудолюбивость, вовлеченность.;1
PostGis;1
Gui;1
Проведение инвентаризаций;1
Эксплуатация ВОЛС;1
Android dev;1
to be updated;1
Notebook;1
Участие в АВР;1
создание приложений под Windows;1
Web Sockets;1
XAF;1
