tag,count
Ведение и расширение клиентской базы,1
Водительские права категории «B»,1
Знание основ финансового анализа,1
знание различных банковских программ,1
практика программирования на assembler,1
"опыт работы с интерфейсами SPI, UART, I2C, CAN, USB",1
"навыки программирования микроконтроллеров на базе ядер AVR, ARM на языке программирования С",1
Теоретическая механика,1
Cppcheck,1
"Владение оргтехникой:  принтер, сканер.",1
"Владение языками программирования:  Pascal, C++, HTML, PHP",1
information retrieval,1
SGE,1
system-verilog,1
VMM/OVM/UVM,1
"C++, STL, boost, OpenGL, Direct3D, MFC, CUDA,",1
LUA,1
MSVS,1
Multi-threading,1
Unix programming,1
С/C++(STL),1
windows presentation foundation,1
MXML,1
Starling,1
Програмування мовою C,1
Програмування мовою C++,1
Програмування мовою Objective-C,1
HEVC,1
"Java SE, Multithreading, OOP, C++, C-shell, STL, javascript(jquery)",1
