"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 15, 1985","34.31","34.31","34.50","31.50","263.93K","2.23%"
"Sep 08, 1985","33.56","33.56","36.56","33.19","197.27K","-6.78%"
"Sep 01, 1985","36.00","36.00","36.00","34.50","89.60K","2.68%"
"Aug 25, 1985","35.06","35.06","35.44","33.38","212.00K","3.88%"
"Aug 18, 1985","33.75","33.75","33.94","32.81","146.73K","0.00%"
"Aug 11, 1985","33.75","33.75","35.62","33.38","197.20K","-4.77%"
"Aug 04, 1985","35.44","35.44","35.81","34.69","194.47K","-0.51%"
"Jul 28, 1985","35.62","35.62","37.12","35.44","256.27K","-4.04%"
"Jul 21, 1985","37.12","37.12","39.75","37.12","199.40K","-6.62%"
"Jul 14, 1985","39.75","39.75","39.75","37.12","330.13K","6.54%"
"Jul 07, 1985","37.31","37.31","38.06","35.62","859.33K","-1.01%"
"Jun 30, 1985","37.69","37.69","38.06","37.12","257.00K","0.00%"
"Jun 23, 1985","37.69","37.69","38.06","35.62","293.47K","5.81%"
"Jun 16, 1985","35.62","35.62","37.31","35.06","367.27K","-2.09%"
"Jun 09, 1985","36.38","36.38","39.38","35.06","321.27K","-8.04%"
"Jun 02, 1985","39.56","39.56","40.50","39.19","246.20K","0.46%"
"May 26, 1985","39.38","39.38","39.56","37.88","200.60K","2.45%"
"May 19, 1985","38.44","38.44","40.31","37.50","679.53K","0.00%"
"May 12, 1985","38.44","38.44","38.44","36.56","494.13K","2.51%"
"May 05, 1985","37.50","37.50","37.69","34.31","671.73K","8.70%"
"Apr 28, 1985","34.50","34.50","35.25","33.94","276.20K","-1.60%"
"Apr 21, 1985","35.06","35.06","35.25","33.38","310.47K","1.62%"
"Apr 14, 1985","34.50","34.50","35.44","33.94","452.73K","1.11%"
"Apr 07, 1985","34.12","34.12","34.12","30.94","196.40K","5.80%"
"Mar 31, 1985","32.25","32.25","33.56","31.88","154.00K","-2.83%"
"Mar 24, 1985","33.19","33.19","33.75","32.81","204.33K","0.00%"
"Mar 17, 1985","33.19","33.19","33.94","32.25","297.87K","1.75%"
"Mar 10, 1985","32.62","32.62","33.75","32.06","175.00K","-2.28%"
"Mar 03, 1985","33.38","33.38","35.06","33.00","505.67K","-1.65%"
"Feb 24, 1985","33.94","33.94","34.50","30.94","604.33K","8.40%"
"Feb 17, 1985","31.31","31.31","33.38","31.31","330.47K","0.61%"
"Feb 10, 1985","31.12","31.12","34.88","30.00","882.80K","-4.07%"
"Feb 03, 1985","32.44","32.44","34.69","28.12","1.24M","13.82%"
"Jan 27, 1985","28.50","28.50","29.81","28.12","542.60K","-1.93%"
"Jan 20, 1985","29.06","29.06","30.19","28.69","516.60K","-2.52%"
"Jan 13, 1985","29.81","29.81","30.38","27.19","677.67K","8.16%"
